Nom de l'établissement,Note,Nombre d'avis,Catégorie,Adresse / résumé,Ville,Activité,URL Google Maps
Chabanettes Hotel et Spa,4.8,,Chabanettes Hotel et Spa,,Le Monestier+France,Hôtel avec spa,https://www.google.com/maps/place/Chabanettes+Hotel+et+Spa/data=!4m10!3m9!1s0x47f68b4bc3812d51:0x9778ce22b7ac5ae0!5m2!4m1!1i2!8m2!3d45.607113!4d3.503569!16s%2Fg%2F1v3hzbdc!19sChIJUS2Bw0uL9kcR4FqstyLOeJc?authuser=0&hl=fr&rclk=1
KYRIAD PRESTIGE Hôtel & SPA Amiens Poulainville,4.4,,SponsoriséPar Booking.com,,Fontaine-sous-Montdidier+France,Hôtel avec spa,https://www.google.com/maps/place/KYRIAD+PRESTIGE+H%C3%B4tel+%26+SPA+Amiens+Poulainville/data=!4m10!3m9!1s0x47e786fdaaa91a35:0x48e90aa1948b3cc7!5m2!4m1!1i2!8m2!3d49.952204!4d2.311624!16s%2Fg%2F11fd5x8wcd!19sChIJNRqpqv2G50cRxzyLlKEK6Ug?authuser=0&hl=fr&rclk=1
La Maison du Chevalier,4.7,,La Maison du Chevalier,,Le Monestier+France,Hôtel avec spa,https://www.google.com/maps/place/La+Maison+du+Chevalier/data=!4m10!3m9!1s0x47f68f7b96b31d2f:0x67d3825a6827e748!5m2!4m1!1i2!8m2!3d45.651582!4d3.664255!16s%2Fg%2F1pp2tz_wg!19sChIJLx2zlnuP9kcRSOcnaFqC02c?authuser=0&hl=fr&rclk=1
Au Refuge Des 3 Ours,4.6,,SponsoriséPar Travelocity.com,,Fontaine-sous-Montdidier+France,Hôtel avec spa,https://www.google.com/maps/place/Au+Refuge+Des+3+Ours/data=!4m10!3m9!1s0x47e7af8265886bdd:0x1d52b799c34bfb93!5m2!4m1!1i2!8m2!3d49.498501!4d2.28432!16s%2Fg%2F1tdfsg9d!19sChIJ3WuIZYKv50cRk_tLw5m3Uh0?authuser=0&hl=fr&rclk=1
"Hôtel Restaurant Le Domaine de Baulieu, Singuliers Hôtels",4.6,,SponsoriséPar Booking.com,,Saint-Élix-d'Astarac+France,Hôtel avec spa,"https://www.google.com/maps/place/H%C3%B4tel+Restaurant+Le+Domaine+de+Baulieu,+Singuliers+H%C3%B4tels/data=!4m10!3m9!1s0x12a97819b09d90a3:0x8cd7bb06e8ddd4b8!5m2!4m1!1i2!8m2!3d43.643866!4d0.617459!16s%2Fg%2F1tgv3p9m!19sChIJo5CdsBl4qRIRuNTd6Aa714w?authuser=0&hl=fr&rclk=1"
Chambres et Tables d'Hôtes Le Riolet,4.7,,Chambres et Tables d'Hôtes Le Riolet,,Le Monestier+France,Hôtel avec spa,https://www.google.com/maps/place/Chambres+et+Tables+d%27H%C3%B4tes+Le+Riolet/data=!4m10!3m9!1s0x47f67d26bd01efdf:0xe28c65febff2450c!5m2!4m1!1i2!8m2!3d45.4748276!4d3.7218806!16s%2Fg%2F11p00199w6!19sChIJ3-8BvSZ99kcRDEXyv_5ljOI?authuser=0&hl=fr&rclk=1
SWEETS-DREAMS-Amiens-Picardie-insolite-balneo-week-end-amoureux,4.9,,SWEETS-DREAMS-Amiens-Picardie-insolite-balneo-week-end-amoureux,,Fontaine-sous-Montdidier+France,Hôtel avec spa,https://www.google.com/maps/place/SWEETS-DREAMS-Amiens-Picardie-insolite-balneo-week-end-amoureux/data=!4m10!3m9!1s0x47e7eb36d345c9ad:0xacf95265a500c0ff!5m2!4m1!1i2!8m2!3d49.7225701!4d2.54926!16s%2Fg%2F11j8xb3760!19sChIJrclF0zbr50cR_8AApWVS-aw?authuser=0&hl=fr&rclk=1
"Hôtel Restaurant Le Domaine de Baulieu, Singuliers Hôtels",4.6,,"Hôtel Restaurant Le Domaine de Baulieu, Singuliers Hôtels",,Saint-Élix-d'Astarac+France,Hôtel avec spa,"https://www.google.com/maps/place/H%C3%B4tel+Restaurant+Le+Domaine+de+Baulieu,+Singuliers+H%C3%B4tels/data=!4m10!3m9!1s0x12a97819c6fef2a7:0x8cd7bb06e8ddd4b8!5m2!4m1!1i2!8m2!3d43.6438663!4d0.6174593!16s%2Fg%2F1tgv3p9m!19sChIJp_L-xhl4qRIRuNTd6Aa714w?authuser=0&hl=fr&rclk=1"
chateau de la forie,4.8,,chateau de la forie,,Le Monestier+France,Hôtel avec spa,https://www.google.com/maps/place/chateau+de+la+forie/data=!4m10!3m9!1s0x47f65ec52844fd5f:0x51e5a5bd59493c7d!5m2!4m1!1i2!8m2!3d45.5011369!4d3.4172429!16s%2Fg%2F11f7714f__!19sChIJX_1EKMVe9kcRfTxJWb2l5VE?authuser=0&hl=fr&rclk=1
"Gîte Le jardin secret, Au temps suspendu, Dans ma bulle",4.9,,"Gîte Le jardin secret, Au temps suspendu, Dans ma bulle",,Saint-Élix-d'Astarac+France,Hôtel avec spa,"https://www.google.com/maps/place/G%C3%AEte+Le+jardin+secret,+Au+temps+suspendu,+Dans+ma+bulle/data=!4m10!3m9!1s0x12a93dd6af721879:0x2d16a17f8ec43e9b!5m2!4m1!1i2!8m2!3d43.3945286!4d0.9671151!16s%2Fg%2F11s892qvyf!19sChIJeRhyr9Y9qRIRmz7Ejn-hFi0?authuser=0&hl=fr&rclk=1"
Au Refuge Des 3 Ours,4.6,,Au Refuge Des 3 Ours,,Fontaine-sous-Montdidier+France,Hôtel avec spa,https://www.google.com/maps/place/Au+Refuge+Des+3+Ours/data=!4m10!3m9!1s0x47e7af826452c80b:0x1d52b799c34bfb93!5m2!4m1!1i2!8m2!3d49.4985008!4d2.2843204!16s%2Fg%2F1tdfsg9d!19sChIJC8hSZIKv50cRk_tLw5m3Uh0?authuser=0&hl=fr&rclk=1
Village de vacances et SPA Saviloisirs,4.4,,Village de vacances et SPA Saviloisirs,,Le Monestier+France,Hôtel avec spa,https://www.google.com/maps/place/Village+de+vacances+et+SPA+Saviloisirs/data=!4m10!3m9!1s0x47f6883964dd4ed9:0xef707019c62e53df!5m2!4m1!1i2!8m2!3d45.574743!4d3.6342783!16s%2Fg%2F1tdj_ypq!19sChIJ2U7dZDmI9kcR31MuxhlwcO8?authuser=0&hl=fr&rclk=1
Ô Détour des Orchidées,5.0,,Ô Détour des Orchidées,,Saint-Élix-d'Astarac+France,Hôtel avec spa,https://www.google.com/maps/place/%C3%94+D%C3%A9tour+des+Orchid%C3%A9es/data=!4m10!3m9!1s0x12a90d85dfdfa18f:0x26426bff8e82221c!5m2!4m1!1i2!8m2!3d43.4785626!4d0.7240636!16s%2Fg%2F11fq_c01rz!19sChIJj6Hf34UNqRIRHCKCjv9rQiY?authuser=0&hl=fr&rclk=1
"Le Domaine du Bien-être , Auvergne",5.0,,"Le Domaine du Bien-être , Auvergne",,Le Monestier+France,Hôtel avec spa,"https://www.google.com/maps/place/Le+Domaine+du+Bien-%C3%AAtre+,+Auvergne/data=!4m10!3m9!1s0x47f6f54671bd29d1:0xa5d308532467c2f3!5m2!4m1!1i2!8m2!3d45.556068!4d3.419882!16s%2Fg%2F11svlc7m1t!19sChIJ0Sm9cUb19kcR88JnJFMI06U?authuser=0&hl=fr&rclk=1"
La chaumière à arparens chambres d'hôtes,5.0,,La chaumière à arparens chambres d'hôtes,,Saint-Élix-d'Astarac+France,Hôtel avec spa,https://www.google.com/maps/place/La+chaumi%C3%A8re+%C3%A0+arparens+chambres+d%27h%C3%B4tes/data=!4m10!3m9!1s0x12a91580a358aced:0xc9218327aa680413!5m2!4m1!1i2!8m2!3d43.4492448!4d0.8680891!16s%2Fg%2F11mqm0zlts!19sChIJ7axYo4AVqRIREwRoqieDIck?authuser=0&hl=fr&rclk=1
"Suites Romantiques, Hors du Temps",4.9,,"Suites Romantiques, Hors du Temps",,Fontaine-sous-Montdidier+France,Hôtel avec spa,"https://www.google.com/maps/place/Suites+Romantiques,+Hors+du+Temps/data=!4m10!3m9!1s0x47e7a5103d64d547:0x8a05d57289761398!5m2!4m1!1i2!8m2!3d49.5692406!4d2.3087962!16s%2Fg%2F11vm2y28z2!19sChIJR9VkPRCl50cRmBN2iXLVBYo?authuser=0&hl=fr&rclk=1"
Domaine le Castagné- Mariage & Hébergements & Séminaire,4.7,,Domaine le Castagné- Mariage & Hébergements & Séminaire,,Saint-Élix-d'Astarac+France,Hôtel avec spa,https://www.google.com/maps/place/Domaine+le+Castagn%C3%A9-+Mariage+%26+H%C3%A9bergements+%26+S%C3%A9minaire/data=!4m10!3m9!1s0x12a97831786681f5:0x108b7d279be61ed0!5m2!4m1!1i2!8m2!3d43.6478586!4d0.6345855!16s%2Fg%2F1td2qflc!19sChIJ9YFmeDF4qRIR0B7mmyd9ixA?authuser=0&hl=fr&rclk=1
Le haras des vignes d’Allouin,5.0,,Le haras des vignes d’Allouin,,Fontaine-sous-Montdidier+France,Hôtel avec spa,https://www.google.com/maps/place/Le+haras+des+vignes+d%E2%80%99Allouin/data=!4m10!3m9!1s0x47e79bfef4d2e341:0xd08601b57c6e4917!5m2!4m1!1i2!8m2!3d49.8299206!4d2.3029994!16s%2Fg%2F11y3x2spp3!19sChIJQePS9P6b50cRF0lufLUBhtA?authuser=0&hl=fr&rclk=1
Le Castéra - Gîtes Roulotte,5.0,,Le Castéra - Gîtes Roulotte,,Saint-Élix-d'Astarac+France,Hôtel avec spa,https://www.google.com/maps/place/Le+Cast%C3%A9ra+-+G%C3%AEtes+Roulotte/data=!4m10!3m9!1s0x12a90f0f773aef33:0x30d89f9c7051776!5m2!4m1!1i2!8m2!3d43.373494!4d0.721273!16s%2Fg%2F11r8w6jyd0!19sChIJM-86dw8PqRIRdhcFx_mJDQM?authuser=0&hl=fr&rclk=1
